Category,Resume
Data Science,"Education Details May 2013 to May 2017 B.E   UIT-RGPV Data Scientist Data Scientist - Matelabs Skill Details Python- Exprience - Less than 1 year months Statsmodels- Exprience - 12 months AWS- Exprience - Less than 1 year months Machine learning- Exprience - Less than 1 year months Sklearn- Exprience - Less than 1 year months Scipy- Exprience - Less than 1 year months Keras- Exprience - Less than 1 year monthsCompany Details company - Matelabs description - ML Platform for business professionals, dummies and enthusiasts. 60/A Koramangala 5th block, Achievements/Tasks behind sukh sagar, Bengaluru, India                               Developed and deployed auto preprocessing steps of machine learning mainly missing value treatment, outlier detection, encoding, scaling, feature selection and dimensionality reduction. Deployed automated classification and regression model. linkedin.com/in/aditya-rathore- b4600b146                           Reasearch and deployed the time series forecasting model ARIMA, SARIMAX, Holt-winter and Prophet. Worked on meta-feature extracting problem. github.com/rathorology Implemented a state of the art research paper on outlier detection for mixed attributes. company - Matelabs description - "
Cybersecurity,"Education Details September 2015 to June 2019 Bachelor of Science in Cybersecurity DEF University Cybersecurity Analyst Cybersecurity Analyst - SecureNet Solutions Skill Details Network Security- Experience - 48 months Security Operations- Experience - 36 months Vulnerability Assessment- Experience - 48 months Intrusion Detection Systems (IDS)- Experience - 36 months SIEM Tools (e.g., Splunk, ELK)- Experience - 36 months Penetration Testing- Experience - 36 months Incident Response- Experience - 36 months Company Details company - SecureNet Solutions description - SecureNet Solutions is a cybersecurity firm providing comprehensive security solutions to businesses. As a Cybersecurity Analyst, I conducted network security assessments, performed vulnerability assessments, and responded to security incidents to ensure the protection of our clients' digital assets."
Full Stack,"Education Details August 2014 to May 2018 Bachelor of Science in Computer Engineering  ABC University, City, Country Full Stack Developer Full Stack Developer - WebTech Solutions Skill Details JavaScript- Experience - 48 months Angular.js- Experience - 36 months Python- Experience - 24 months Django- Experience - 24 months MySQL- Experience - 36 months HTML/CSS- Experience - 48 monthsCompany Details company - WebTech Solutions description - WebTech Solutions is a software development company specializing in building scalable and robust web applications. As a Full Stack Developer, I am responsible for designing, developing, and maintaining both front-end and back-end components of web applications. I work closely with product managers and UX/UI designers to ensure that our applications meet the highest standards of quality and user experience. Projects: Social Media Platform - Led the development of a social media platform using Angular.js for the front-end and Django for the back-end. Implemented real-time updates using WebSockets and integrated OAuth for secure authentication. Designed and implemented a RESTful API for seamless interaction with mobile applications. E-learning Portal - Developed an e-learning portal using Angular.js for the front-end and Django for the back-end. Implemented a user-friendly interface with responsive design principles and integrated video streaming capabilities. Utilized MySQL for efficient data storage and retrieval and implemented role-based access control for different user types. Tools & Technologies: JavaScript, Angular.js, Python, Django, MySQL, HTML/CSS, Git, VS Code."
DevOps,"Education Details August 2017 to May 2021 Master of Science in Computer Science GHI University DevOps Architect DevOps Architect - DevWorks Solutions Skill Details Infrastructure Automation- Experience - 48 months Continuous Integration/Continuous Deployment (CI/CD)- Experience - 36 months Cloud Computing- Experience - 48 months Orchestration Tools (e.g., Terraform, Ansible)- Experience - 36 months Microservices Architecture- Experience - 48 months Security Compliance- Experience - 36 months Scalability Planning- Experience - 48 months Company Details company - DevWorks Solutions description - DevWorks Solutions is a DevOps consultancy firm focusing on helping organizations streamline their software delivery processes. As a DevOps Architect, I designed and implemented scalable and secure infrastructure solutions for clients' cloud environments."
Full Stack,"Education Details September 2015 to May 2019 B.Sc. in Computer Science ABC University Full Stack Developer Full Stack Developer - TechWise Solutions Skill Details HTML5- Experience - 36 months CSS3- Experience - 36 months JavaScript- Experience - 36 months Node.js- Experience - 24 months React.js- Experience - 24 months AngularJS- Experience - 24 months MongoDB- Experience - 24 months Express.js- Experience - 24 months RESTful APIs- Experience - 24 months Responsive Web Design- Experience - 36 months Company Details company - TechWise Solutions description - TechWise Solutions is a software development company specializing in building custom web applications for clients in various industries. As a Full Stack Developer, I was involved in developing and maintaining web applications from front to back end. Responsible for implementing responsive web designs, integrating RESTful APIs, and ensuring cross-browser compatibility."
Mobile App Development,"Skills: - Mobile App Development (iOS, Android) - Flutter, React Native - UI/UX Design - RESTful APIs - Git Version Control - Firebase, SQLite - Push Notifications Experience: Mobile App Developer - XYZ Mobile Solutions (2019-Present) - Developed cross-platform mobile applications using Flutter and React Native for iOS and Android platforms. - Designed user interfaces, wireframes, and prototypes for mobile apps. - Integrated RESTful APIs and backend services for data communication and storage. - Utilized Git for version control and collaborated with team members using Git workflows. - Implemented push notifications and in-app analytics using Firebase. Education: Bachelor of Science in Computer Science ABC University (2015-2019) Contact Information: Email: emily.chen@example.com Phone: +1 (555) 123-4567 LinkedIn: linkedin.com/in/emilychen"
Data Science,"Education Details January 2019 B.Tech. Electrical and Electronics Engineering  Manipal Institute of Technology January 2015    DEEKSHA CENTER January 2013    Little Flower Public School August 2000    Manipal Academy of Higher DATA SCIENCE DATA SCIENCE AND ELECTRICAL ENTHUSIAST Skill Details Data Analysis- Exprience - Less than 1 year months excel- Exprience - Less than 1 year months Machine Learning- Exprience - Less than 1 year months mathematics- Exprience - Less than 1 year months Python- Exprience - Less than 1 year months Matlab- Exprience - Less than 1 year months Electrical Engineering- Exprience - Less than 1 year months Sql- Exprience - Less than 1 year monthsCompany Details company - THEMATHCOMPANY description - I am currently working with a Casino based operator(name not to be disclosed) in Macau.I need to segment the customers who visit their property based on the value the patrons bring into the company.Basically prove that the segmentation can be done in much better way than the current system which they have with proper numbers to back it up.Henceforth they can implement target marketing strategy to attract their customers who add value to the business."
Full Stack,"Education Details August 2016 to May 2020 Bachelor of Engineering in Computer Science XYZ College Full Stack Engineer Full Stack Engineer - CodeCraft Innovations Skill Details HTML5- Experience - 48 months CSS3- Experience - 48 months JavaScript- Experience - 48 months Vue.js- Experience - 36 months Node.js- Experience - 36 months Express.js- Experience - 36 months MongoDB- Experience - 36 months SQL- Experience - 36 months Responsive Web Design- Experience - 48 months Company Details company - CodeCraft Innovations description - CodeCraft Innovations is a startup focused on developing innovative web-based solutions for small businesses. As a Full Stack Engineer, I was involved in designing and implementing web applications using modern technologies. Responsible for developing RESTful APIs, integrating databases, and ensuring the scalability and performance of web applications."
QA Testing,"Detail-oriented QA Engineer with expertise in manual and automated testing methodologies. Skilled in test planning, test case design, and execution. Proficient in using testing tools like Selenium, JUnit, and Postman. Experienced in testing web applications, mobile apps, and APIs. Strong knowledge of software development life cycle (SDLC) and agile methodologies. Previous projects include regression testing, performance testing, and usability testing. Seeking opportunities to leverage technical skills and contribute to ensuring the quality and reliability of software products."
UX Design,"Education Details September 2017 to June 2021 Bachelor of Fine Arts in Interaction Design XYZ University UX/UI Designer UX/UI Designer - Creative Solutions Inc. Skill Details User Research- Experience - 36 months Wireframing- Experience - 48 months Prototyping- Experience - 48 months Usability Testing- Experience - 36 months Adobe XD- Experience - 36 months Sketch- Experience - 36 months Figma- Experience - 24 months UI Design- Experience - 48 months Company Details company - Creative Solutions Inc. description - Creative Solutions Inc. is a design agency specializing in creating intuitive and user-friendly digital experiences. As a UX/UI Designer, I was responsible for conducting user research, creating wireframes and prototypes, and conducting usability testing to ensure optimal user experience for our clients' digital products."
